title,company,location,link
Software Developer (Python),"Yashco Systems, Inc.","Hilliard, OH",https://www.indeed.com/viewjob?jk=8f5037f31fe9b760
Healthcare Applic Sppt Analyst,The Ohio State University,"Columbus, OH",https://www.indeed.com/viewjob?jk=6f4b548e50578d37
Data Analytics Specialist - PN: 20043204,State of Ohio Jobs,"Columbus, OH",https://www.indeed.com/viewjob?jk=151395133d30cda4
Data Center Media Technician (AWS GovCloud Region),"Amazon Data Services, Inc.","Hilliard, OH",https://www.indeed.com/viewjob?jk=c6d918b8cb6792de
Cloud Resiliency Engineer - Python,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=d3a58220faa3b259
Support Engineer,"Amazon Dev Center U.S., Inc.","Dublin, OH",https://www.indeed.com/viewjob?jk=9403e3b1737bff8b
Python Developer,TRA'BIAN ENTERPRISES,"Columbus, OH",https://www.indeed.com/viewjob?jk=737004e5bf2943d3
"Technology-Columbus, OH-2021 ReEntry Program","JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=8e7838f5cd0fd231
"Actuary, Pricing R&D",Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=0526f7c48e558018
"Actuarial Analyst, Auto & Renters Pricing",Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=3cf4cec6ea942ee9
"Specialist, Data Science",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=f22a42462651984c
DB2 Mainframe Database Administrator,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=8062300ebbfddd35
Software Developer I,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=c037c959ed68c1a5
Associate Software Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=3e74e154d9bd25a7
CCB - Quantitative Modeling/Data Science - Associate,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=3de2d1b670ef6e47
Data Scientist,Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=d639e32ea6a2425d
Entry Level Outside Plant Engineer,Byers Engineering,"Columbus, OH",https://www.indeed.com/viewjob?jk=ac9c8078d7231b9b
Early Career Reverse Engineer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=d74e6cce27efab85
Cyber Security Analyst,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=b65d52faf5e0f81f
"Data Engineer (Python, Pyspark, Airflow, AWS)",Nexient,"Columbus, OH",https://www.indeed.com/viewjob?jk=6eab7faee636ef0b
IAM Analyst,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=3ea86c95c6b3860a
Cloud Engineer,SDH Systems,"Dublin, OH",https://www.indeed.com/viewjob?jk=7bbe14b5e043cfc9
Product Analytics Manager,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=3685736f1b3675fd
Data Analyst - Kubernetes - remote,Sciata,"Columbus, OH",https://www.indeed.com/viewjob?jk=62ffbf2605160f9b
CCB Risk Digital Fraud Strategy Manager,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=4b142552e2a5cd6e
Data Scientist,auticon,"Columbus, OH",https://www.indeed.com/viewjob?jk=24348cf99c12a985
"Senior Analyst, Strategic Intelligence & Analytics",Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=41ed3df561f36fc7
Machine Learning Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=bbcf3e0de8210869
"Consultant, Logistics",Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=77a88511d7b29012
Product Quality Engineer,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=e24c1fefea1e4e19
Summer IT Intern,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=c023e49fc9ff451c
Post Doctoral Scholar,The Ohio State University,"Columbus, OH",https://www.indeed.com/viewjob?jk=0e36942da202558f
Customer Marketing Analyst,"Big Lots, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=da1e4d412c188321
R&D Chemical Engineer II,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=68731e52fd31e5f5
Cloud Engineer,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=5f986d48d0aec4dc
"IO Engineering Developer, Specialist",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=088e13d9c9632049
Insights Analyst,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=0a07e7db5e4a321f
Upper School Computer Science Teacher,Columbus School for Girls,"Columbus, OH",https://www.indeed.com/viewjob?jk=baf17c23f5ce7c29
Staff Research Scientist,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=88d7e116e7867165
Application Security Analyst,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=a87260b6a400c1de
.Net Software Engineer,Intone Networks,"Columbus, OH",https://www.indeed.com/viewjob?jk=3ffb3b16e6487ec6
Staff Research Scientist,Upstart,"Columbus, OH",https://www.indeed.com/viewjob?jk=301d89842ee05414
Infrastructure Engineer Cybersecurity,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=ecfba4f3656d49a0
Senior Data Scientist,Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=d530287d5a27c6ba
Sr. Software Engineer,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=8d10d9f14e27c96e
"Strategic Business Analyst II - Columbus, OH","JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=b2c6acd7571f7f10
Predictive Modeling Analyst to Predictive Modeler,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=33cd4944217ad61f
"Executive Director, Data Science","JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=b9f76c99903dec7f
Corporate Finance: Financial Information Reporting Services - Finance Operations - Associate,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=96df097cd9f7194a
Data Engineer,Immuta,"Columbus, OH",https://www.indeed.com/viewjob?jk=f80b611b091c23bb
Technical Intern- Cyber,Centauri,"Columbus, OH",https://www.indeed.com/viewjob?jk=9c6c09e7255c0e5e
Server Engineer,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=762a2bee95ff8b99
Senior CX Insights Analyst,Safelite Group Inc,"Columbus, OH",https://www.indeed.com/viewjob?jk=7bbd6fe147ba16fb
Data Analytics Specialist - Temporary/Special Project,State of Ohio Jobs,"Columbus, OH",https://www.indeed.com/viewjob?jk=11bbbe8b429ed65a
Infrastructure Developer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=c3d491550a2ec2b2
Applications Tech Lead,Immuta,"Columbus, OH",https://www.indeed.com/viewjob?jk=7d40b3f776bcf834
Senior Solutions Engineer,Splunk,"Columbus, OH",https://www.indeed.com/viewjob?jk=f734355f408c3bae
Field CTO - Healthcare and Life Sciences,Immuta,"Columbus, OH",https://www.indeed.com/viewjob?jk=adcbf4370e98651a
"Consultant, Advanced Analytics (People Analytics Developer)",Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=a23f5666effd994b
"Sr. Scientist- Columbus, OH Plant",Abbott Laboratories,"Columbus, OH",https://www.indeed.com/viewjob?jk=37873a83f9523539
"Consultant, Business Intelligence (Business Optimization)",Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=02a2de62286089d9
Product Quality Engineer,Upstart,"Columbus, OH",https://www.indeed.com/viewjob?jk=a3add3504f80c7f3
ETL Developer (Technical Specialst),Ascendum,"Columbus, OH",https://www.indeed.com/viewjob?jk=d2a5c082158354d0
"Program Analyst - Cyber/Application Security - Dublin, OH","Fiserv, Inc.","Dublin, OH",https://www.indeed.com/viewjob?jk=4cb8e7ca172a57fe
"Manager, Machine Learning",Upstart,"Columbus, OH",https://www.indeed.com/viewjob?jk=70bcbba713269941
"Data Analyst II, Pricing Audit",Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=ef9d5f6012179e7f
IT Integration Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=c8cbc630478479dd
"Manager, Machine Learning","Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=65e87d28a1233aa9
Senior Data Engineer,Archents,"Dublin, OH",https://www.indeed.com/viewjob?jk=88808ef826d47650
Sr Technology Architect,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=d15be6f5a65afe15
Senior Medicaid Datawarehouse Analytics SME,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=23d58b5781d4f251
RHEL System Administrator,Peer Solutions Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=d3932c0ebf307b74
Data Scientist/Machine Learning Specialist,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=fb7e2f76b5ad712c
"Specialist, Operations Research & Analytics",Alliance Data,"Columbus, OH",https://www.indeed.com/viewjob?jk=05fbe24470c86ebf
Office 365 Implementation Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=b031c92b5765b3ee
ETL Technical Specialist,TRA'BIAN ENTERPRISES,"Columbus, OH",https://www.indeed.com/viewjob?jk=bead800e8d6f50ac
"Senior Research Scientist, Neurotechnology",Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=c8ec3f6d582d6e96
Similac CRM Data Scientist,Abbott Laboratories,"Columbus, OH",https://www.indeed.com/viewjob?jk=596c2fd7ca13ee11
Stockroom Associate,Williams Sonoma,"Columbus, OH",https://www.indeed.com/viewjob?jk=f53c0ddae16726d8
EDU Software Engineer- Remote,Splunk,"Columbus, OH",https://www.indeed.com/viewjob?jk=5c339a4904885408
DevOps Consultant - Nationwide Opportunities,"Amazon Web Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=95b63d0829909dd2
"Sr Consultant, Analytic Solution Advisor",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=d8288af26d4abd8c
Reverse Engineer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=d9e49471362591b6
"Sr. Consultant, Data Science (Telematics)",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=fcd1c16be401be67
Senior DevOps Engineer,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=b3ed76d07ce9bc45
ArcGIS Administrator,Peer Solutions Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=4aa59083c6489e38
Windows System Administrator,Peer Solutions Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=0a04830836d22fa8
Marketing Data Analytics Manager,Central Mutual Insurance Company,"Dublin, OH",https://www.indeed.com/viewjob?jk=214e157ddeca00fd
"Senior Actuarial Analyst, Auto & Renters Pricing",Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=8d96139d9e3fac58
Data Analyst to Data Analyst Senior,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=79a4b0eb4920c7f2
Specialist - Technology Engineer (PCS Automation),Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=f96586ef0c6766ad
Business Analyst - Senior,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=45572f757a982554
Senior AML Modeling Analyst,Alliance Data,"Columbus, OH",https://www.indeed.com/viewjob?jk=74c7692b77a8fc83
"Manager, Data Engineering","Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=c4fb3583c01f8d61
Machine Learning Engineer,Upstart,"Columbus, OH",https://www.indeed.com/viewjob?jk=ecf5b1eb22a00ef0
Machine Learning Engineer,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=c7ad284b7193d409
Associate Pricing Actuary,Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=745036a630f8bc04
"Software Engineer- Machine Learning Dev/@Dublin, OH",iknowvate technologies,"Dublin, OH",https://www.indeed.com/viewjob?jk=ded0b3d42f26320b
AML Modeling Analyst I,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=36bbc17f4bf1a918
nCino Business Consultant,TCS,"Columbus, OH",https://www.indeed.com/viewjob?jk=41e839a6a54a4df8
Senior Digital Analyst-Advertising,Safelite Group Inc,"Columbus, OH",https://www.indeed.com/viewjob?jk=9b8bf0c0d0fa254d
Research Scientist,Upstart,"Columbus, OH",https://www.indeed.com/viewjob?jk=51278c465f50892d
Python Tutoring/Teaching,Wyzant,"Columbus, OH",https://www.indeed.com/viewjob?jk=de835414984f7c9f
Healthcare Facilities Planning and Data Analyst - Consulting Studio,NBBJ,"Columbus, OH",https://www.indeed.com/viewjob?jk=e3590ffafe76a30d
"QA (Quality Assurance) Automation Engineer - Remote, Full Time",FullStack Labs,"Columbus, OH",https://www.indeed.com/viewjob?jk=7a53b2b2b6d70891
"Cloud Enablement - Analytics & Cognitive, Manager (Financial Services)",Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=3bed0e81680a0d2f
Tech Lead,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=6d653a7e1dd6f39b
Java Software Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=e986824a9bd98058
QA Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=2f5f0734e5c0ae8b
Network Engineer 3,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=4ee2f2a9f1667ff2
Senior Cyber Security Engineer - Incident Response,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=53f101c03b094e4f
"Associate, Software Engineer II - Advanced Data Engineering","JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=300306dd20bcbed0
CSV Test Automation Manager,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=0c9d91378be59638
Business Intelligence Analyst,Soothsayer Analytics,"Dublin, OH",https://www.indeed.com/viewjob?jk=faba55bc986609ca
"Consultant I - Threat Vulnerability Management & Remediation | Remote, USA - East Coast",Optiv,"Columbus, OH",https://www.indeed.com/viewjob?jk=1cd2cbe60cc4a444
Site Reliability Engineering,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=d9dd70b1d9a07062
Software Product Integration Engineer II,WOW!,"Columbus, OH",https://www.indeed.com/viewjob?jk=4e892b78506ceb6d
Product Analyst Sr. - Pricing and Analytics - Consumer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=984c768b20a64826
Offensive Security Engineer,Klarna,"Columbus, OH",https://www.indeed.com/viewjob?jk=4983d54d5a2b2ddf
Data Scientist,Alliance Data,"Columbus, OH",https://www.indeed.com/viewjob?jk=073a208775f208b9
Water Resources Data Manager,"Amazon Data Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=bcca526624ef44ba
Senior Data Engineer,Gathi Analytics,"Columbus, OH",https://www.indeed.com/viewjob?jk=a5497ea9392186c6
COL - Data Engineer,Daugherty Business Solutions,"Columbus, OH",https://www.indeed.com/viewjob?jk=94b3b4df2fa00fea
SOA Integration Architect,"Perficient, Inc","Columbus, OH",https://www.indeed.com/viewjob?jk=f0e0d6607586bdac
Sr. Statistical Consultant,Alliance Data,"Columbus, OH",https://www.indeed.com/viewjob?jk=6e248f0d5e1e611b
Engineering-Modeler/Programmer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=14837d23d6b87218
Senior Software Engineer - Machine Learning,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=1650f5cb56a23dab
Pricing Manager & Actuary,Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=9803bb3a4913e55f
Associate Release Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=be014d94bec36945
Sofware Engineer,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=38a102ac3934898f
Data Science Consultant,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=c71570cadf4c9618
Site Reliability Engineer,Eaton,"Columbus, OH",https://www.indeed.com/viewjob?jk=1b58035d08c3b0b1
Part-Time Computer Science Tutor,Franklin University,"Columbus, OH",https://www.indeed.com/viewjob?jk=56bef4f465d42d51
Software Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=d8ac1e2996454026
Automation Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=245ce71fe79c9a21
Enterprise Architect,American Chemical Society,"Columbus, OH",https://www.indeed.com/viewjob?jk=d3df21a7560e12d9
Microscopist III,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=4d15797d8b3577b4
Data Scientist,American Chemical Society,"Columbus, OH",https://www.indeed.com/viewjob?jk=59c0668ea74ff3ca
"Senior Associate, Information Security Operations",KPMG,"Columbus, OH",https://www.indeed.com/viewjob?jk=9e96195762569b8d
"Python Application Developer - Remote, Full Time",FullStack Labs,"Columbus, OH",https://www.indeed.com/viewjob?jk=d0a797e8fbea5495
Mid-Level Vulnerability Researcher,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=54851f3f98158a69
Data Scientist III,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=ffa7f39f0a91dcb5
Senior Full Stack Engineer,Huckleberry Insurance,"Columbus, OH",https://www.indeed.com/viewjob?jk=638d2ec17528c159
Performance Diagnostic Engineering Mgr,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=869ba9b248519121
"Sr. Consultant, Data Science (Computational Telematics)",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=05f23ddd6a08c221
Data Scientist,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=d881fb017e1a4c31
"Staff Software Engineer, Pricing",Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=aeae6060baa28c98
Senior Reverse Engineer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=f73df5e6bbb01d86
DevOps Engineer,Nexient,"Columbus, OH",https://www.indeed.com/viewjob?jk=7c4a3afeea529268
Senior DevOps Engineer,Upstart,"Columbus, OH",https://www.indeed.com/viewjob?jk=4d54bac403318d31
Data Infrastructure Engineer,Nexient,"Columbus, OH",https://www.indeed.com/viewjob?jk=954100b6dc04de8b
Senior Security Engineer,The Ohio State University,"Columbus, OH",https://www.indeed.com/viewjob?jk=b9d98be63f1db51a
"Project Software Engineer, Cloud",Rockwell Automation,"Columbus, OH",https://www.indeed.com/viewjob?jk=ec108f8e6affe1fe
AML Business Analyst 3,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=0df2dd6871307580
Senior Bioinformatics Scientist - Center for Childhood Cancer and Blood Diseases,Nationwide Children's Hospital,"Columbus, OH",https://www.indeed.com/viewjob?jk=32b92f46ea60d7fc
Strategic Business Analyst I,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=af7679dafb548569
Software Developer 4 (JoinOCI-SDE),Oracle,"Dublin, OH",https://www.indeed.com/viewjob?jk=778e3b75830de215
Data Engineering Lead,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=283bab0f2b633318
Data Engineer Senior,PNC Financial Services Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=b66205b2aaeeed67
Sr. Infrastructure Development,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=1fb94d1721f9c8e6
"Manager, Solution Architecture – Project Omnia",Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=9bc79ca9f45a1674
Test Automation Engineer/Consultant - MW,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=0c1426be5688b43c
COL - Software Engineer and Architect,Daugherty Business Solutions,"Columbus, OH",https://www.indeed.com/viewjob?jk=a437360aa11d63d9
"Supervisor, IT Integration and Manufacturing",SYNNEX Corporation,"Grove City, OH",https://www.indeed.com/viewjob?jk=c220f1052fbe341c
Systems Engineering Intelligent Automation Cloud Testing Senior Consultant,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=eba7155a6f3b1973
AWS BI Lead,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=2df7a8f9eed293dd
Senior Software Engineer (cloud/backend),New Relic,"Columbus, OH",https://www.indeed.com/viewjob?jk=b7d9b5dbdcfff089
