title,company,location,link
DevOps Automation Engineer,Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=2cd2e7a567ca29db
Senior Software Engineer,Eaton,"Columbus, OH",https://www.indeed.com/viewjob?jk=c97568ef90db2e20
Product Support Engineer - CRM,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=9986ee23b0123373
"Consultant, Technology Engineer (Cloud Infrastructure Engineering)",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=910eac87888c61cb
Machine Learning Research Scientist,DCS Corp,"Columbus, OH",https://www.indeed.com/viewjob?jk=d19b3c9aed1a2322
"Data Scientist, Pricing R&D",Root Insurance Company,"Columbus, OH",https://www.indeed.com/viewjob?jk=66185f6511f0a80a
Software Cloud Design Engineer,"Innovation Associates, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=02ba75ce47e9c452
LEAD BUSINESS INTELLIGENCE DEVELOPER,Northwest,"Columbus, OH",https://www.indeed.com/viewjob?jk=9b5c688666e2ca53
Data Engineer,CapTech Consulting,"Columbus, OH",https://www.indeed.com/viewjob?jk=6f43fad277a82ca8
Early Career Vulnerability Researcher,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=4a40c2633c7fb844
Senior DevOps Architect,"Amazon Web Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=89df50577dd1fc19
Sr. DevOps Engineer- Azure (Remote),"Covetrus, North America","Dublin, OH",https://www.indeed.com/viewjob?jk=1264df83a059e3f6
Senior Application Modernization Architect,"Amazon Web Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=72533e700da6d1ab
"Consultant, Technical Engineer (Cloud Security Engineer)",Nationwide,"Columbus, OH",https://www.indeed.com/viewjob?jk=accf96114e7b6f4a
Application Integration Engineering Lead,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=3b7398ce585d3e64
Senior Vulnerability Researcher,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=b6b53c45d0e52aa2
Senior Biostatistician Clinical Trials (Data Scientist III),Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=b517de83612a0506
IT SPECIALIST (SYSADMIN),US Department of the Army,"Columbus, OH",https://www.indeed.com/viewjob?jk=dd1ece1ae6f6b4db
Data Engineer,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=f466932903f48674
Software Engineer,American Chemical Society,"Columbus, OH",https://www.indeed.com/viewjob?jk=b84afefe6896cda7
Cloud Application Migration Consultant,"Amazon Web Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=6f0041319dfd843d
AWS Glue Architect,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=856906e9b8822e4e
Engineering Lead,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=e37b8a3f1eaa4412
Sr. Software Engineer,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=2f4e409eac6bdbf0
Research Scientist - RI Radiology Ho,Nationwide Children's Hospital,"Columbus, OH",https://www.indeed.com/viewjob?jk=934819edaa92534d
Hadoop Software Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=fc012002b589d879
Red Hat Enterprise Linux Infrastructure System Admin,Peer Solutions Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=e951f3cf2a711522
ETL Cloud Engineer (Hadoop/Spark/SQL),ACS Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=4091f422a643d44f
Sr. Data Warehouse Developer,"Highlights for Children, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=28a1ebf006fcad6f
Enterprise Test Automation Leader,Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=73772382ff24cfbf
Associate Security Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=754ea662915abe71
"DevOps Engineer, Remote, Full Time",FullStack Labs,"Columbus, OH",https://www.indeed.com/viewjob?jk=5a4cf8eb15c9823a
Post Doctoral Scientist - Das Lab - Battelle Center for Mathematical Medicine,Nationwide Children's Hospital,"Columbus, OH",https://www.indeed.com/viewjob?jk=a2b0a291d9c04c71
CAD/GIS Administrator,TRA'BIAN ENTERPRISES,"Columbus, OH",https://www.indeed.com/viewjob?jk=14319da01139b5ac
Medical Devices Software Engineering Intern (Summer 2021),Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=53c5d89680b475fb
Data Analytics Co-op/Intern - Fall 2021,"Honda R&D Americas, Inc.","Marysville, OH",https://www.indeed.com/viewjob?jk=95d73f768b34921f
DevOps Best Practice Software Engineer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=e5474275641f21b1
Cyber Security Engineer- McAfee/ SNORT,​Markesman Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=9a80f9b6aeb6c69b
Security Engineer - Red Team,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=bf81270acb9229dd
Application Security Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=85f4aecbeb41aba4
DevOps Manager,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=295b0b50b7909a9a
FPGA Developer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=edcee7ce3b30aeeb
C4025J - Software Engineer I,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=c8034b017e9dfe63
Senior Data Engineer,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=7179a7e983d02cf6
Data Engineer,auticon,"Columbus, OH",https://www.indeed.com/viewjob?jk=7c5f21ba2266bf7f
Systems Security Engineer,Centauri,"Columbus, OH",https://www.indeed.com/viewjob?jk=ca0a1f5793b8ab6e
Cyber Engineer Co-op (Summer 2021),Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=bd49534e9278b083
Senior Security Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=32172273e192a9e2
Security Penetration Tester Delivery Manager - Location Negotiable,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=4dfb8bd1eefd255d
Site Reliability Engineer,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=db85fb438a5a77d8
Systems Engineering Intelligent Automation Test Data Management Consultant,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=2d9b3fd587098f61
Senior Architect,TRA'BIAN ENTERPRISES,"Columbus, OH",https://www.indeed.com/viewjob?jk=f46488bb6f0fc4a3
Azure Data & Analytics Consultant,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=f29f8091068deb52
Software Developer Sr.,State Auto Insurance Companies,"Columbus, OH",https://www.indeed.com/viewjob?jk=87cdf77e9f943d1f
Systems Engineering Intelligent Automation Cloud Testing Consultant,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=174d4e3de9ef58d2
Principal Cloud Software Engineer - Apache Cassandra,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=2e0b0f6db9aaa3f1
AI Engineer: Back End,Pearson,"Columbus, OH",https://www.indeed.com/viewjob?jk=5cbde7bdc493fe20
Senior Product Quality Engineer,"Upstart Network, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=8ba4a8f9a66d5143
Sr Data Architect - Data Warehouse & MPP - Nationwide Opportunities,"Amazon Web Services, Inc.","Columbus, OH",https://www.indeed.com/viewjob?jk=51f5391d267826fa
"Senior Manager, Enterprise Architect - DAS Project Omnia",Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=8ed34795b76a9265
DevOps Architect,Eaton,"Columbus, OH",https://www.indeed.com/viewjob?jk=cc1b464716fc9792
Principal AI Engineer: UI & Release Management (Flutter Mobile),Pearson,"Columbus, OH",https://www.indeed.com/viewjob?jk=58643a1510b04ae6
Cyber Semiconductor Test Engineer 3,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=bcb306345222335a
Azure Data Engineer,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=30355ac74689ee34
Senior Software Engineer (Full Stack Java Developer),Cardinal Health,"Dublin, OH",https://www.indeed.com/viewjob?jk=7f8644c0fb64f324
AWS Cloud Specialist Master,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=f897812d7870065f
Systems Engineering Intelligent Automation Test Data Management Senior Consultant,Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=464fa32c8ea1c5b4
AWS Cloud Native Architect/Engineer,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=c568051d909c5d15
"GCP Cloud Enablement - Analytics & Cognitive, Consultant",Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=7d4edc6e7a68ae80
Security Engineer,Veeva Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=b2de3544079bb7e0
"Consultant, Advanced Data Analytics & Insights – Digital Analytics",Huntington Bank,"Columbus, OH",https://www.indeed.com/viewjob?jk=9e82a16dbfbdcd4d
ASIC Design Engineer,Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=d569233a37fd477c
Senior DevOps Developer W2,Amplify Systems,"Columbus, OH",https://www.indeed.com/viewjob?jk=b08823adc379ac5e
Cyber Security Engineer- RSA Archer Certified Administrator,​Markesman Group,"Columbus, OH",https://www.indeed.com/viewjob?jk=ab53ff83c692b617
Cloud Native Engineer,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=9683b65a8eb82141
Senior Consulting Engineer - Security Incident Response,CDW,"Columbus, OH",https://www.indeed.com/viewjob?jk=5dbe7b8cbcbe7c99
"Senior Software Engineer, Site Reliability Engineering",LaborView,"Lockbourne, OH",https://www.indeed.com/viewjob?jk=a4e30f7f655cb29b
"Manager, Solution Architecture – Audit",Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=99f28f8aa190b5b7
Advisory Services - Business Intelligence & Analytics Senior Consultant Data Engineer,Avaap,"Columbus, OH",https://www.indeed.com/viewjob?jk=9b05811260c954e6
Senior Full Stack Java Developer,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://www.indeed.com/viewjob?jk=fab7eb7b5644fa20
Cyber Hardware Engineer 5 (Sky),Battelle,"Columbus, OH",https://www.indeed.com/viewjob?jk=8d1671c388774ae9
"Senior Manager, Solution Architect – DAS Project Omnia",Deloitte,"Columbus, OH",https://www.indeed.com/viewjob?jk=702e22d45a1e979f
Test Automation Engineering Sr. Analyst - MW,Accenture,"Columbus, OH",https://www.indeed.com/viewjob?jk=5a11c0dc0b23583b
Engineering Manager (leading 5-8 engineers) frontend or mobile,Zoopla,"London, UK",https://stackoverflow.com/jobs/495953
Site Reliability Engineer,Government Digital Service (GDS),"London, UK",https://stackoverflow.com/jobs/481147
"Senior Data Engineer - We're scaling fast, so come join us!!",Paddle,"London, UK",https://stackoverflow.com/jobs/497031
Data Engineer Team Lead - We're scaling fast come and join us!!,Paddle,"London, UK",https://stackoverflow.com/jobs/497028
Senior Software Engineer (Python),Longshot Systems Ltd,"London, UK",https://stackoverflow.com/jobs/497027
Asset Management Research Technology - Data Science Analytics Team Lead - Executive...,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/496981
Principal Software Engineer - shape services that help and protect UK citizens,UK Home Office,"Croydon, UK",https://stackoverflow.com/jobs/496842
Commodities Software Engineer - Assoc,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/496832
Technical Learning Solutions - Software Engineering,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/496821
"Tech Lead / Software Engineering Lead - Commodities Technology - Executive Director,...","JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/496813
Cloud / GitOps Engineer,Metaswitch Networks,"London Borough of Enfield, UK",https://stackoverflow.com/jobs/456264
Senior Frontend Engineer (JS TS React),Zoopla,"London, UK",https://stackoverflow.com/jobs/496547
Machine Learning / Python Engineer - Applied AI Systems - Vice President Software...,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/496507
Software Engineering - Productivity Engineer,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/496498
Python Software Engineer - Rates Athena London Derivatives,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/496113
Web UI Engineer,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/496091
Senior Production Support Engineer,OSL,"London, UK",https://stackoverflow.com/jobs/495962
DevOps Engineer - CI/CD,Privitar Ltd,"London, UK",https://stackoverflow.com/jobs/466271
Senior Engineer - Blockchain,OSL,"London, UK",https://stackoverflow.com/jobs/495720
Lead Software Engineer - Python - ASOS AI,ASOS,"London, UK",https://stackoverflow.com/jobs/455785
Senior Product Security Engineer,News UK,"London, UK",https://stackoverflow.com/jobs/455733
Senior Full Stack Software Engineer - Javascript / Java,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/495448
Software Automation Engineer,GoodNotes,"London, UK",https://stackoverflow.com/jobs/479128
Full Stack Lead Engineer - Java/Cloud/React- VP - Asset Management,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/494800
Infrastructure Engineer,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/494634
Senior Backend Engineer,Tessian,"London, UK",https://stackoverflow.com/jobs/475363
DevOps Engineer - London,The Orchard,"London, UK",https://stackoverflow.com/jobs/371376
Mid-level Full-Stack Web Developer,uTalk,"London, UK",https://stackoverflow.com/jobs/441760
CIB - Digital Client Services - Product Manager - Vice President,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/493302
Software Engineer - Full-stack -London,The Orchard,"London, UK",https://stackoverflow.com/jobs/371082
Technical Learning Solutions - Software Engineer,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/492634
Java Engineer - Portfolio Management - Global Fixed Income,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/492621
Software Engineer,Intruder,"London, UK",https://stackoverflow.com/jobs/492581
Senior Software Engineer,Intruder,"London, UK",https://stackoverflow.com/jobs/492580
DevOps Software Engineer (Data Engineering Team) - DU Grade,Lloyds Banking Group,"London, UK",https://stackoverflow.com/jobs/492573
Graduate Software Developer - 2021,FINBOURNE Technology,"London, UK",https://stackoverflow.com/jobs/492569
Big Data & Cloud QA Automation Engineer Platform Team,Mimecast,"London, UK",https://stackoverflow.com/jobs/463993
Principal Mobile Software Engineer,Skyscanner,"London, UK",https://stackoverflow.com/jobs/463990
Java Developer - Full Stack Software Engineer,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/491494
Engineering Manager - Search Platform,Yelp,"London, UK",https://stackoverflow.com/jobs/282014
Frontend Engineer,Tessian,"London, UK",https://stackoverflow.com/jobs/475359
Senior Platform Engineer,Tessian,"London, UK",https://stackoverflow.com/jobs/475365
Senior Engineering Manager,Tessian,"London, UK",https://stackoverflow.com/jobs/475364
Lead NLP Data Scientist,Tessian,"London, UK",https://stackoverflow.com/jobs/475362
Backend Engineer,Tessian,"London, UK",https://stackoverflow.com/jobs/475360
Data Engineer,Zuhlke Engineering Ltd,"London, UK",https://stackoverflow.com/jobs/427684
Senior Python Engineer,Bulb Energy,"London, UK",https://stackoverflow.com/jobs/396265
Backend Engineer,causaLens,"London, UK",https://stackoverflow.com/jobs/462391
Frontend Engineer,causaLens,"London, UK",https://stackoverflow.com/jobs/462390
Senior DevOps Engineer,Bulb Energy,"London, UK",https://stackoverflow.com/jobs/387933
"Senior Functional Architect / Lead Business Analyst - Post Trade Technlogy, Executive...","JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/489461
DevOps Engineer #London #FinTech,Checkout.com,"London, UK",https://stackoverflow.com/jobs/452401
Linux System Administration & Applications Support - DevOps - VP,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/489558
Java / Python Software Engineer - AWM Trading Technology - Vice President (VP),"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/489521
Metrics & Observability VP - CIB Platform Services - Software Engineer / SRE,"JPMorgan Chase Bank, N.A.","London, UK",https://stackoverflow.com/jobs/489446
Data Scientist - Applied Science,causaLens,"London, UK",https://stackoverflow.com/jobs/439135
Machine Learning Engineer,causaLens,"London, UK",https://stackoverflow.com/jobs/439133
Specialist Solution Architect: NoSQL Databases - ElastiCache,Amazon Web Services,"London, UK",https://stackoverflow.com/jobs/473795
DevOps Engineer,Sustainalytics,"London, UK",https://stackoverflow.com/jobs/465946
Senior Software Engineer - Mobile Shared Services,Bloomberg LP,"London, UK",https://stackoverflow.com/jobs/488286
DevSecOps,We Got POP Ltd,"London, UK",https://stackoverflow.com/jobs/488064
Software Engineer - Application Backend,Yelp,"London, UK",https://stackoverflow.com/jobs/202038
Lead Dev-Ops Engineer,Mastercard,"Rickmansworth, UK",https://stackoverflow.com/jobs/416090
DevOps Software Automation Engineer,Mastercard,"London, UK",https://stackoverflow.com/jobs/416089
DevOps Software Automation Engineer (Open),Mastercard,"London, UK",https://stackoverflow.com/jobs/416087
Full Stack Software Engineer,Tails.com,"Richmond, UK",https://stackoverflow.com/jobs/487607
Backend Developer,Octopus Energy,"London, UK",https://stackoverflow.com/jobs/197943
Senior Reliablity Engineer (Production),Mastercard,"Rickmansworth, UK",https://stackoverflow.com/jobs/424556
Tech Lead - Join our growing team of 40+ software engineers,Tails.com,"Richmond, UK",https://stackoverflow.com/jobs/391983
Principal Software Engineer,Bulb Energy,"London, UK",https://stackoverflow.com/jobs/435310
Senior Data Scientist -Python & Libraries such as pySpark/SparkML/Pandas/SKlearn,EDF,"London, UK",https://stackoverflow.com/jobs/484649
C++ Cross-platform Application Developer,The Focusrite Group,"London, UK",https://stackoverflow.com/jobs/484642
Mid-level Python and Django software developer,Eligible.ai,"London, UK",https://stackoverflow.com/jobs/447951
Frontend Developer,Government Digital Service (GDS),"London, UK",https://stackoverflow.com/jobs/457677
Platform Software Engineer - Databases,Yelp,"London, UK",https://stackoverflow.com/jobs/297870
Assurance Engineering Lead,Lloyds Banking Group,"London, UK",https://stackoverflow.com/jobs/482962
Senior Backend Engineer at hyperexponential,Hyperexponential,"London, UK",https://stackoverflow.com/jobs/457466
Mobile Robotics Engineer,Ocado Technology,"Hatfield, UK",https://stackoverflow.com/jobs/468975
Full-Stack Software Engineer -  AWS/Python/Typescript/GO/Lambda,EDF,"London, UK",https://stackoverflow.com/jobs/457943
Head of Back-end Engineering,Axomic Inc,"London, UK",https://stackoverflow.com/jobs/468960
Frontend Developer,Octopus Energy,"London, UK",https://stackoverflow.com/jobs/468942
Senior Data Engineer,QuantumBlack,"London, UK",https://stackoverflow.com/jobs/483237
Data Engineer,QuantumBlack,"London, UK",https://stackoverflow.com/jobs/483236
Full Stack Engineer,causaLens,"London, UK",https://stackoverflow.com/jobs/468461
Python Developer,Octopus Energy,"London, UK",https://stackoverflow.com/jobs/468269
Software Engineers - London,OVO Group,"London, UK",https://stackoverflow.com/jobs/362603
Web Engineer,Signal AI,"London, UK",https://stackoverflow.com/jobs/273615
Software Engineer - Build the next generation of AI platform,Signal AI,"London, UK",https://stackoverflow.com/jobs/246027
Frontend Engineer,Axomic Inc,"London, UK",https://stackoverflow.com/jobs/481221
